Id;Label;PageRank;Authorithy;Eccentricity;Hub;Closeness;Harmonic Closeness;Betweenness;Clustering Coeff.
thisgirlcan;thisgirlcan;0.0023028338302370573;0.048040748;2.0;0.048040748;0.9977064220183486;0.9988505747126437;2.173.303.826.786.760;0.9937421083450317
vote;vote;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
humanity;humanity;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
graphic;graphic;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
femori;femori;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
entrepreneur;entrepreneur;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
empowerment;empowerment;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
whitemen;whitemen;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
toxicmasculinity;toxicmasculinity;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
lesbian;lesbian;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
shithole;shithole;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
country;country;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
president;president;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
calling;calling;0.0023027883366527084;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
countries;countries;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
thing;thing;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
problem;problem;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
course;course;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
time;time;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
lol;lol;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
kavanaugh;kavanaugh;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
womanempowerment;womanempowerment;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
her;her;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
womensmarch;womensmarch;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
poster;poster;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
painting;painting;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
capitalist;capitalist;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
meat;meat;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
dairy;dairy;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
egg;egg;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
speciesism;speciesism;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
ageism;ageism;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
religionism;religionism;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
paganforever;paganforever;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
pagan;pagan;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
cheating;cheating;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
lying;lying;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
meme;meme;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
video;video;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
conservatives;conservatives;0.0022927030782697597;0.04792015;2.0;0.04792015;0.9931506849315068;0.996551724137931;0.5184477172871472;0.9979590773582458
liberals;liberals;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
hypocrisy;hypocrisy;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
truth;truth;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
human;human;0.002283431415519262;0.047732603;2.0;0.047732603;0.9886363636363636;0.9942528735632183;0.14325270919460328;0.9994145631790161
class;class;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
girly;girly;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
media;media;0.002302823287600719;0.048042018;2.0;0.048042018;0.9977064220183486;0.9988505747126437;21.577.792.116.487.600;0.9937952756881714
eyes;eyes;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
evangelicals;evangelicals;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
fear;fear;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
leapfrog;leapfrog;0.002283431415519262;0.047732603;2.0;0.047732603;0.9886363636363636;0.9942528735632183;0.14325270919460328;0.9994145631790161
resistance;resistance;0.002292681224701874;0.04792271;2.0;0.04792271;0.9931506849315068;0.996551724137931;0.48561726562963536;0.9980664849281311
resisters;resisters;0.002292681224701874;0.04792271;2.0;0.04792271;0.9931506849315068;0.996551724137931;0.48561726562963536;0.9980664849281311
teeth;teeth;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
wild;wild;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
us;us;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
illustration;illustration;0.0023028338302370573;0.048040748;2.0;0.048040748;0.9977064220183486;0.9988505747126437;2.173.303.826.786.760;0.9937421083450317
brush;brush;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
cartoon;cartoon;0.0022834550549200036;0.04772978;2.0;0.04772978;0.9886363636363636;0.9942528735632183;0.18080171678209675;0.9992844462394714
hope;hope;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
really;really;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
bear;bear;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
school;school;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
government;government;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
favorite;favorite;0.0023028338302370573;0.048040748;2.0;0.048040748;0.9977064220183486;0.9988505747126437;2.173.303.826.786.760;0.9937421083450317
treat;treat;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
party;party;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
